"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Comoros","COM","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","5231000000","7404000000","6268000000","7313000000","7256000000","7931000000","9110000000","10302000000","10916000000","10122000000","11069000000","11575000000","12714000000","12040000000","13021000000","10603000000","10015000000","11662000000","14115000000","22682084700","24864577828","24458384929","23035539462","21597068724","28384017279","32141369472","34769229128","35754256751.81","42649794475.3324","48820488938.3501","56524782208.199","56877763756.5976","",
"Cabo Verde","CPV","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","968900000","1372500000","1568800000","1771900000","2280600000","2536100000","3206000000","3744000000","3983100000","4570800000","5295400000","5325900000","5620900000","6127400000","6784200000","7404100000","9732400000","10598700000","11472000000","12053100000","14310000000","16085600000","15669400000","18548500000","20681600000","22752400000","24794299999.9999","25748016243.06","27305400000","31937604885.3","40562287942","45573429186.2","46112095318.64","44538459184","48122488343.9666","45332146540.9101","47744798302.1199","54968296229.7871","",
"Costa Rica","CRI","Money (current LCU)","FM.LBL.MONY.CN","434200000","422100000","479900000","534600000","567500000","596300000","620000000","828700000","849700000","959900000","1007300000","1318000000","1501100000","1874500000","2146400000","2772000000","3409200000","4503900000","5624800000","6226400000","7270500000","10831600000","18448000000","25619000000","30176000000","32507000000","42729000000","42822000000","65268000000","63980000000","66484000000","79794000000","109517000000","117193000000","161568000000","151899000000","177515000000","350542649687","403763378666.9","503089524146.25","621016359154.35","1014375841211.05","1247461740868.39","1512158540507.37","1866077473969.98","2338975317159.05","3004299936806.15","3611092298638.71","4019365244305.7","4244602918544.66","4760510972406.71","5277224881724.26","5604448876154.11","6136521992490.13","",
"Caribbean small states","CSS","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Money (current LCU)","FM.LBL.MONY.CN","11977296.104047","14113047.9057672","16932240.2840379","19090203.904496","20443416.2460659","21929899.5000632","24391994.1770863","27585370.2710184","30469489.5040613","37502093.0367657","42790214.497825","45160044.6970137","57786609.3487837","59339728.0589946","58871571.2640575","53132379.0224749","73796204.8544784","85354893.6053883","95423681.8994181","121602873.184184","138012281.427161","175217077.813127","206540868.037876","232721767.924083","240801744.140351","276116827.332156","262456558.808353","296261238.325981","347655969.682576","373146594.586467","423953567.047229","457823173.419629","499873563.493338","548609711.007152","566136544.592789","610975372.218824","667706065.876837","737046238.172207","759090613.968842","1241726097.52014","1171635849.192","1127299350.38973","1074283156.26527","1480537320.98128","1575228012.86235","1947822729.18325","2403831367.87214","2798296182.64266","9314000000","10560000000","10926000000","11381000000","11820000000","10463000000","",
"Czech Republic","CZE","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268975000000","403973000000","431083000000","451547000000","418389000000","403996600000","447810700000","498961800000","582880600000","841740000000","964180000000","1026301000000","1162752000000","1325638000000","1526565000000","1674998000000","1771845000000","2021727000000","2149766000000","2336271000000","2514305000000","",
"Germany","DEU","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568210000000","583951000000","608839000000","687516000000","748508000000","787856000000","875347000000","922858000000","960160000000","1023758000000","1206664000000","1307154000000","1377390000000","1546946000000","1655155000000","",
"Djibouti","DJI","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","19934000000","20533000000","23290000000","25331000000","27066000000","25184000000","27362000000","31649000000","34981000000","36404000000","37608000000","36998000000","35925000000","32478000000","29258000000","30274000000","27911000000","28645000000","35515000000","42850000000","47443000000","47728000000","57271420000","67541034000","82236063014","102677612000","127291928127.05","123096108861.33","134870061880","155868619000","",
"Dominica","DMA","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","8536000","9358000","11526000","17491000","30086000","27109000","26443000","25373000","25404000","32402000","31222000","37028000","58666000","62950000","60140000","77971000","78462000","96931000","84402000","83569000","97844794","104224647","111888264","111434374","144642765","111622106","130312157","158929411","183319993","179712427","194498587","189590403","209239184","210308443","231363265","229315522.152112","223717972.644232","272140218.069247","241161830.453154","",
