All figures œmn unless otherwise stated,Narrow Money,,,,,,
,Bank of England Balance Sheet,Nominal GDP,,% of lagged nominal GDP,,,
Documentation,"Total assets, œmn, 1696-1697 - 14th March 1696 and 25th June 1697, 1698-1764 - End-August balance sheet, 1766-1966 - End-February balance sheet,February, 1858-1966, 1966-2014 third Wednesday in February 
",Composite estimate of UK nominal GDP at market prices œmn,"Composite estimate of nominal GDP at market prices œmn, with S Ireland included before 1921.",Composite estimate of UK nominal GDP at market prices œmn,"Composite estimate of nominal GDP at market prices œmn, with S Ireland included before 1921.",,
Source,Bank of England,,,,,,
1988,16889.00,511671,511671,3.70,3.70,,
1989,17350.00,566512,566512,3.39,3.39,,
1990,18679.00,615673,615673,3.30,3.30,,
1991,19694.00,647966,647966,3.20,3.20,,
1992,20280.00,672170,672170,3.13,3.13,,
1993,24569.00,707734,707734,3.66,3.66,,
1994,26351.00,745196,745196,3.72,3.72,,
1995,24195.00,782979,782979,3.25,3.25,,
1996,25181.00,836189,836189,3.22,3.22,,
1997,26917.00,878780,878780,3.22,3.22,,
1998,32681.00,923294,923294,3.72,3.72,,
1999,101956.00,963196,963196,11.04,11.04,,
2000,80756.00,1023512,1023512,8.38,8.38,,
2001,37850.00,1062262,1062262,3.70,3.70,,
2002,41352.00,1117171,1117171,3.89,3.89,,
2003,46712.00,1190525,1190525,4.18,4.18,,
2004,48565.00,1255191,1255191,4.08,4.08,,
2005,55714.00,1326660,1326660,4.44,4.44,,
2006,61799.00,1403726,1403726,4.66,4.66,,
2007,76991.00,1480956,1480956,5.48,5.48,,
2008,97616.00,1518675,1518675,6.59,6.59,,
2009,168404.00,1482144,1482144,11.09,11.09,,
2010,247280.00,1558365,1558365,16.68,16.68,,
2011,241642.00,1617677,1617677,15.51,15.51,,
2012,311459.00,1655384,1655384,19.25,19.25,,
2013,404228.00,1713122,1713122,24.42,24.42,,
2014,403089.00,,,23.53,23.53,,
